Age,Height,Weight,Gender,Body_Part,Exercise Name
35,177,71,0,Shoulders,Dumbbell Front Raise
28,164,67,1,Neck,CHIN TUCK - SUPIN
43,180,73,0,Quadriceps,Dumbbell front squat
32,170,66,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Dumbbell External Shoulder Rotation
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Lunges
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Dumbbell External Shoulder Rotation
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Hamstring Curl
28,172,67,1,Lower Back,Child's Pose
43,180,73,0,Shoulders,Dumbbell External Shoulder Rotation
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Lunges
26,175,80,0,Lower Back,Child's Pose
41,178,72,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
29,163,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Prone Straight Leg Raises
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Dumbbell Front Raise To Lateral Raise
28,162,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Prone Straight Leg Raises
32,176,76,0,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Lunges
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Dumbbell External Shoulder Rotation
30,170,65,1,Neck,Neck Rotation
35,167,71,1,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Knee To Chest Stretch
43,180,73,0,Shoulders,Dumbbell External Shoulder Rotation
32,156,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Prone Straight Leg Raises
26,168,63,1,Lower Back,Child's Pose
41,178,72,0,Shoulders,Alternating Dumbbell Front Raise
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Lunges
30,170,65,1,Lower Back,Child's Pose
35,164,71,1,Shoulders,Alternating Dumbbell Front Raise
28,172,67,1,Neck,CHIN TUCK - SUPIN
43,180,73,0,Quadriceps,Dumbbell front squat
32,170,66,1,Lower Back,Child's Pose
37,175,70,0,Shoulders,Dumbbell External Shoulder Rotation
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Dumbbell front squat
29,175,81,0,Lower Back,Child's Pose
44,179,74,0,Shoulders,Dumbbell Front Raise To Lateral Raise
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Hamstring Curl
28,172,67,1,Lower Back,Knee To Chest Stretch
43,180,73,0,Shoulders,Dumbbell Front Raise To Lateral Raise
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Lunges
26,168,63,1,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Dumbbell External Shoulder Rotation
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Hamstring Curl
30,170,65,1,Lower Back,Knee To Chest Stretch
35,177,71,0,Shoulders,Prone Horizontal Abduction
28,162,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Prone Straight Leg Raises
32,173,76,0,Lower Back,Child's Pose
37,175,70,0,Shoulders,Standing Palms In Shoulder Press
26,188,96,0,Neck,Neck Rotation
41,178,72,0,Quadriceps,Hamstring Curl
29,179,83,0,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Standing Palms In Shoulder Press
30,170,65,1,Neck,CHIN TUCK - SUPIN
44,167,68,1,Shoulders,Side Lateral Raise
43,160,69,1,Shoulders,Side Lateral Raise
44,160,68,1,Shoulders,Side Lateral Raise
41,169,69,1,Shoulders,Side Lateral Raise
44,169,68,1,Shoulders,Overhead Dumbbell Front Raise
44,160,69,1,Shoulders,Overhead Dumbbell Front Raise
43,160,69,1,Shoulders,Overhead Dumbbell Front Raise
44,167,68,1,Shoulders,Side Lateral Raise
44,160,69,1,Shoulders,Standing Dumbbell Chest Fly
44,169,68,1,Shoulders,Standing Dumbbell Chest Fly
41,167,69,1,Shoulders,Standing Dumbbell Chest Fly
41,166,68,1,Shoulders,Standing Dumbbell Chest Fly
43,169,69,1,Shoulders,Standing Dumbbell Chest Fly
41,169,68,1,Shoulders,Power Partials
44,160,69,1,Shoulders,Power Partials
44,160,66,1,Shoulders,Power Partials
44,167,64,1,Shoulders,Power Partials
43,160,68,1,Shoulders,Cuban Press
43,169,69,1,Shoulders,Cuban Press
43,160,64,1,Shoulders,Cuban Press
44,160,64,1,Shoulders,Cuban Press
41,160,68,1,Shoulders,Dumbbell Scaption
43,169,69,1,Shoulders,Dumbbell Scaption
43,167,64,1,Shoulders,Dumbbell Scaption
44,169,68,1,Shoulders,Bent-Over Dumbbell Rear Delt Row
41,159,69,1,Shoulders,Bent-Over Dumbbell Rear Delt Row
44,159,68,1,Shoulders,Bent-Over Dumbbell Rear Delt Row
44,167,64,1,Shoulders,Prone Horizontal Abduction
43,159,69,1,Shoulders,Arom Side lying Abduction
41,159,64,1,Shoulders,Arom Side lying Abduction
44,167,69,1,Shoulders,Side Lateral Raise
43,167,68,1,Shoulders,Overhead Dumbbell Front Raise
43,180,73,0,Quadriceps,Lunges
32,170,66,1,Lower Back,Knee To Chest Stretch
37,161,70,1,Shoulders,Side Lateral Raise
26,168,63,1,Neck,Child's Pose
41,178,72,0,Quadriceps,Hamstring Curl
29,171,66,1,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Standing Dumbbell Chest Fly
30,180,85,0,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Child's Pose
43,180,73,0,Shoulders,Prone Horizontal Abduction
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Lunges
26,168,63,1,Lower Back,Child's Pose
41,178,72,0,Shoulders,Power Partials
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Prone Straight Leg Raises
30,170,65,1,Lower Back,Knee To Chest Stretch
35,177,71,0,Shoulders,Alternating Deltoid Raise
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Dumbbell front squat
32,178,85,0,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Dumbbell Scaption
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Lunges
29,171,66,1,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Dumbbell External Shoulder Rotation
30,170,65,1,Neck,Neck Rotation
35,177,71,0,Quadriceps,Prone Straight Leg Raises
28,172,67,1,Lower Back,Child's Pose
43,173,77,1,Shoulders,Dumbbell Scaption
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Prone Straight Leg Raises
26,168,63,1,Lower Back,Knee To Chest Stretch
41,162,72,1,Shoulders,Power Partials
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Hamstring Curl
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Power Partials
28,172,67,1,Neck,CHIN TUCK - SUPIN
43,180,73,0,Quadriceps,Dumbbell front squat
32,170,66,1,Lower Back,Knee To Chest Stretch
50,175,75,0,Shoulders,Dumbbell Front Raise
51,175,80,0,Neck,Neck Rotation
52,180,80,0,Quadriceps,Lunges
53,175,78,0,Lower Back,Child's Pose
54,185,85,0,Shoulders,Dumbbell Front Raise To Lateral Raise
55,160,73,1,Neck,CHIN TUCK - SUPIN
56,178,77,0,Quadriceps,Prone Straight Leg Raises
57,176,76,0,Lower Back,Knee To Chest Stretch
58,183,82,0,Shoulders,Dumbbell Front Raise To Lateral Raise
59,174,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Prone Straight Leg Raises
61,157,72,1,Lower Back,Child's Pose
62,177,76,0,Shoulders,Dumbbell Front Raise
63,173,75,1,Neck,Neck Rotation
64,180,80,0,Quadriceps,Dumbbell front squat
65,165,78,1,Lower Back,Knee To Chest Stretch
50,172,73,0,Shoulders,Alternating Deltoid Raise
51,170,70,1,Neck,Neck Rotation
52,180,80,0,Quadriceps,Dumbbell front squat
53,175,78,1,Lower Back,Child's Pose
54,185,85,0,Shoulders,Dumbbell Front Raise
55,166,73,1,Neck,CHIN TUCK - SUPIN
56,178,77,0,Quadriceps,Prone Straight Leg Raises
57,176,76,1,Lower Back,Knee To Chest Stretch
58,183,82,0,Shoulders,Alternating Dumbbell Front Raise
59,174,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Dumbbell front squat
61,154,60,1,Lower Back,Child's Pose
62,177,76,0,Shoulders,Alternating Deltoid Raise
63,173,75,1,Neck,Neck Rotation
64,180,80,0,Quadriceps,Lunges
65,175,78,0,Lower Back,Knee To Chest Stretch
50,158,69,1,Shoulders,Alternating Deltoid Raise
51,170,70,1,Neck,CHIN TUCK - SUPIN
52,180,80,0,Quadriceps,Prone Straight Leg Raises
53,175,78,1,Lower Back,Child's Pose
54,185,85,0,Shoulders,Dumbbell Scaption
55,172,73,1,Neck,Neck Rotation
56,178,77,0,Quadriceps,Hamstring Curl
57,176,76,1,Lower Back,Child's Pose
58,183,82,0,Shoulders,Dumbbell Front Raise To Lateral Raise
59,162,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Hamstring Curl
61,171,72,1,Lower Back,Knee To Chest Stretch
62,177,76,0,Shoulders,Standing Dumbbell Shoulder Press
63,173,75,1,Neck,CHIN TUCK - SUPIN
64,180,80,0,Quadriceps,Lunges
65,175,78,1,Lower Back,Child's Pose
50,175,75,0,Shoulders,Standing Dumbbell Fly
51,170,70,1,Neck,Neck Rotation
52,180,80,0,Quadriceps,Lunges
53,175,78,1,Lower Back,Knee To Chest Stretch
54,185,85,0,Shoulders,Side Lateral Raise
55,172,73,1,Neck,Child's Pose
56,178,77,0,Quadriceps,Hamstring Curl
57,161,76,1,Lower Back,Knee To Chest Stretch
58,183,82,0,Shoulders,Standing Dumbbell Chest Fly
59,166,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Dumbbell front squat
61,171,72,1,Lower Back,Child's Pose
24,177,76,0,Shoulders,Prone Horizontal Abduction
63,173,75,1,Neck,CHIN TUCK - SUPIN
64,180,80,0,Quadriceps,Hamstring Curl
65,175,78,1,Lower Back,Knee To Chest Stretch
50,172,73,0,Shoulders,Overhead Dumbbell Front Raise
51,170,70,1,Neck,CHIN TUCK - SUPIN
52,180,80,0,Quadriceps,Prone Straight Leg Raises
53,175,78,1,Lower Back,Child's Pose
54,185,85,0,Shoulders,Prone Horizontal Abduction
55,172,73,1,Neck,Neck Rotation
56,178,77,0,Quadriceps,Lunges
57,176,76,1,Lower Back,Child's Pose
58,183,82,0,Shoulders,Overhead Dumbbell Front Raise
59,174,74,1,Neck,Neck Rotation
18,159,68,1,Neck,CHIN TUCK - SUPIN
17,161,49,1,Neck,Neck Rotation
19,184,100,0,Neck,Neck Rotation
16,155,63,1,Neck,CHIN TUCK - SUPIN
23,158,78,1,Neck,Neck Rotation
22,162,54,1,Neck,CHIN TUCK - SUPIN
19,169,67,1,Neck,Neck Rotation
17,153,60,1,Quadriceps,Hamstring Curl
21,177,92,0,Quadriceps,Lunges
53,175,78,1,Lower Back,Knee To Chest Stretch
54,185,85,0,Shoulders,Dumbbell Front Raise
55,163,73,1,Neck,Neck Rotation
56,178,77,0,Quadriceps,Dumbbell front squat
57,166,76,1,Lower Back,Knee To Chest Stretch
58,183,82,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
59,174,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Dumbbell front squat
61,171,72,1,Lower Back,Child's Pose
62,177,76,0,Shoulders,Alternating Dumbbell Front Raise
63,173,75,1,Neck,CHIN TUCK - SUPIN
64,180,80,0,Quadriceps,Lunges
65,175,78,1,Lower Back,Child's Pose
41,173,83,0,Lower Back,Knee To Chest Stretch
21,158,72,1,Lower Back,Child's Pose
25,165,55,1,Neck,Neck Rotation
35,175,70,0,Quadriceps,Hamstring Curl
28,172,65,1,Lower Back,Knee To Chest Stretch
40,185,90,0,Shoulders,Prone Horizontal Abduction
32,168,60,1,Neck,Neck Rotation
45,178,85,0,Quadriceps,Hamstring Curl
27,170,63,1,Lower Back,Knee To Chest Stretch
33,165,75,1,Shoulders,Prone Horizontal Abduction
29,169,58,1,Neck,CHIN TUCK - SUPIN
38,182,88,0,Quadriceps,Dumbbell front squat
31,174,68,1,Lower Back,Child's Pose
34,177,72,0,Shoulders,Standing Dumbbell Fly
26,163,57,1,Neck,Neck Rotation
43,180,73,0,Shoulders,Standing Dumbbell Fly
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Dumbbell front squat
26,178,83,0,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Cuban Press
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Dumbbell front squat
30,170,65,1,Lower Back,Child's Pose
35,166,71,1,Shoulders,Dumbbell Scaption
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Hamstring Curl
32,170,66,1,Lower Back,Child's Pose
37,175,70,0,Shoulders,Cuban Press
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Dumbbell front squat
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Alternating Deltoid Raise
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Knee To Chest Stretch
43,180,73,0,Shoulders,Alternating Deltoid Raise
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,175,70,0,Quadriceps,Prone Straight Leg Raises
26,168,63,1,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Dumbbell External Shoulder Rotation
29,171,66,1,Neck,Neck Rotation
44,179,74,0,Quadriceps,Dumbbell front squat
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Overhead Dumbbell Front Raise
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Lunges
32,170,66,1,Lower Back,Knee To Chest Stretch
61,171,72,1,Lower Back,Knee To Chest Stretch
62,177,76,0,Shoulders,Overhead Dumbbell Front Raise
63,173,75,1,Neck,Neck Rotation
64,180,80,0,Quadriceps,Prone Straight Leg Raises
65,175,78,0,Lower Back,Child's Pose
35,162,71,1,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Child's Pose
43,158,73,1,Shoulders,Dumbbell Front Raise
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,165,70,1,Quadriceps,Dumbbell front squat
26,168,63,1,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Dumbbell Scaption
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Prone Straight Leg Raises
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Alternating Deltoid Raise
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Hamstring Curl
32,170,66,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Standing Dumbbell Shoulder Press
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Dumbbell front squat
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Dumbbell External Shoulder Rotation
30,170,65,1,Neck,Neck Rotation
35,177,71,0,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Child's Pose
43,180,73,0,Shoulders,Dumbbell Front Raise To Lateral Raise
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,175,70,0,Quadriceps,Hamstring Curl
26,168,63,1,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Standing Dumbbell Shoulder Press
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Lunges
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Standing Dumbbell Fly
28,172,67,1,Neck,Neck Rotation
30,173,75,0,Shoulders,Side Lateral Raise
30,174,78,0,Shoulders,Side Lateral Raise
29,176,78,0,Shoulders,Side Lateral Raise
32,173,75,0,Shoulders,Side Lateral Raise
26,174,75,0,Shoulders,Overhead Dumbbell Front Raise
26,176,78,0,Shoulders,Overhead Dumbbell Front Raise
28,173,75,0,Shoulders,Overhead Dumbbell Front Raise
32,174,75,0,Shoulders,Side Lateral Raise
29,176,75,0,Shoulders,Standing Dumbbell Chest Fly
30,173,76,0,Shoulders,Standing Dumbbell Chest Fly
28,174,75,0,Shoulders,Standing Dumbbell Chest Fly
26,176,78,0,Shoulders,Standing Dumbbell Chest Fly
32,173,75,0,Shoulders,Standing Dumbbell Chest Fly
29,174,75,0,Shoulders,Power Partials
30,176,78,0,Shoulders,Power Partials
28,173,75,0,Shoulders,Power Partials
26,174,75,0,Shoulders,Power Partials
26,176,78,0,Shoulders,Cuban Press
28,173,76,0,Shoulders,Cuban Press
32,174,75,0,Shoulders,Cuban Press
28,176,78,0,Shoulders,Cuban Press
65,165,78,1,Lower Back,Knee To Chest Stretch
50,172,73,0,Shoulders,Alternating Deltoid Raise
51,170,70,1,Neck,Neck Rotation
52,180,80,0,Quadriceps,Dumbbell front squat
53,175,78,1,Lower Back,Child's Pose
54,185,85,0,Shoulders,Dumbbell Front Raise
55,166,73,1,Neck,CHIN TUCK - SUPIN
56,178,77,0,Quadriceps,Prone Straight Leg Raises
57,176,76,1,Lower Back,Knee To Chest Stretch
58,183,82,0,Shoulders,Alternating Dumbbell Front Raise
59,174,74,1,Neck,CHIN TUCK - SUPIN
60,179,79,0,Quadriceps,Dumbbell front squat
61,154,60,1,Lower Back,Child's Pose
62,177,76,0,Shoulders,Alternating Deltoid Raise
63,173,75,1,Neck,Neck Rotation
64,180,80,0,Quadriceps,Lunges
65,175,78,0,Lower Back,Knee To Chest Stretch
44,160,66,1,Shoulders,Power Partials
44,167,64,1,Shoulders,Power Partials
43,160,68,1,Shoulders,Cuban Press
43,169,69,1,Shoulders,Cuban Press
43,160,64,1,Shoulders,Cuban Press
44,160,64,1,Shoulders,Cuban Press
41,160,68,1,Shoulders,Dumbbell Scaption
43,169,69,1,Shoulders,Dumbbell Scaption
43,167,64,1,Shoulders,Dumbbell Scaption
30,180,80,0,Shoulders,Alternating Dumbbell Front Raise
60,179,79,0,Quadriceps,Prone Straight Leg Raises
35,160,71,1,Quadriceps,Prone Straight Leg Raises
28,172,67,1,Lower Back,Child's Pose
16,156,70,1,Quadriceps,Hamstring Curl
17,158,72,1,Quadriceps,Lunges
39,181,90,0,Shoulders,Dumbbell Scaption
50,172,73,0,Shoulders,Overhead Dumbbell Front Raise
51,170,70,1,Neck,Neck Rotation
52,180,80,0,Quadriceps,Hamstring Curl
17,168,73,0,Quadriceps,Prone Straight Leg Raises
15,166,64,0,Quadriceps,Dumbbell front squat
20,157,65,1,Shoulders,Alternating Deltoid Raise
21,188,102,0,Shoulders,Alternating Dumbbell Front Raise
42,180,92,0,Quadriceps,Prone Straight Leg Raises
30,168,62,1,Lower Back,Child's Pose
36,179,78,0,Shoulders,Dumbbell External Shoulder Rotation
28,171,64,1,Neck,Neck Rotation
39,166,81,1,Quadriceps,Dumbbell front squat
32,175,71,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Cuban Press
26,168,63,1,Neck,CHIN TUCK - SUPIN
